rule_id,clause,test_number,object,tags,status,description,rationale,implementation_paths,evidence
5-1,5,1,MainXMPPackage,metadata,covered,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema,PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-2,5,2,PDFUAIdentification,metadata,covered,"The value of ""pdfuaid:part"" shall be the part number of the International Standard to which the file conforms",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-3,5,3,PDFUAIdentification,metadata,covered,"Property ""part"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-4,5,4,PDFUAIdentification,metadata,covered,"Property ""amd"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
5-5,5,5,PDFUAIdentification,metadata,covered,"Property ""corr"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""",PDF/UA identification metadata is written explicitly during tagging and has passing corpus evidence.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
6.1-1,6.1,1,CosDocument,syntax,unproven,"The file header shall consist of ""%PDF-1.n"" followed by a single EOL marker, where 'n' is a single digit number between 0 (30h) and 7 (37h)","Outputs currently pass the validator, but the app has no dedicated header normalization or repair path for malformed PDF version markers.",backend/app/pipeline/validator.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
6.2-1,6.2,1,CosDocument,syntax,covered,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-1,7.1,1,SEMarkedContent,artifact,covered,Content marked as Artifact should not be present inside tagged content,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-2,7.1,2,SEMarkedContent,artifact,covered,Tagged content should not be present inside content marked as Artifact,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-3,7.1,3,SESimpleContentItem,artifact,covered,Content shall be marked as Artifact or tagged as real content,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-4,7.1,4,CosDocument,syntax,covered,"Files shall have a Suspects value of false(ISO 32000-1:2008, Table 321)",The tagging pass explicitly sets /MarkInfo /Suspects to false on output PDFs.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-5,7.1,5,SENonStandard,structure,covered,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-6,7.1,6,PDStructElem,structure,covered,A circular mapping shall not exist,"The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-7,7.1,7,PDStructElem,structure,covered,"Standard tags defined in ISO 32000-1:2008, 14.8.4, shall not be remapped","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-8,7.1,8,PDDocument,metadata,covered,"The Catalog dictionary of a conforming file shall contain the Metadata key whose value is a metadata stream as defined in ISO 32000-1:2008, 14.3.2. The metadata stream dictionary shall contain entry Type with value /Metadata and entry Subtype with value /XML","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-9,7.1,9,MainXMPPackage,metadata,covered,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-10,7.1,10,CosDocument,syntax,covered,"The document catalog dictionary shall include a ViewerPreferences dictionary containing a DisplayDocTitle key, whose value shall be true","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-11,7.1,11,PDDocument,structure,covered,"The logical structure of the conforming file shall be described by a structure hierarchy rooted in the StructTreeRoot entry of the document catalog dictionary, as described in ISO 32000-1:2008, 14.7","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.1-12,7.1,12,PDStructElem,structure,covered,"A structure element dictionary shall contain the P (parent) entry according to ISO 32000-1:2008, 14.7.2, Table 355","The app builds a fresh standard structure tree, metadata, and figure semantics rather than preserving source ambiguity.","backend/app/pipeline/tagger.py, backend/app/pipeline/orchestrator.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-2,7.2,2,PDOutline,lang,partial,Natural language in the Outline entries shall be determined,"The app sets document language and preserves many language-bearing strings, but it does not yet model multilingual spans or language overrides comprehensively.","backend/app/pipeline/tagger.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-3,7.2,3,SETable,"structure,table",partial,"Table element may contain only TR, THead, TBody, TFoot and Caption elements","The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-4,7.2,4,SETR,"structure,table",partial,"TR element should be contained in Table, THead, TBody or TFoot element","The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-5,7.2,5,SETHead,"structure,table",partial,THead element should be contained in Table element,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-6,7.2,6,SETBody,"structure,table",partial,TBody element should be contained in Table element,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-7,7.2,7,SETFoot,"structure,table",partial,TFoot element should be contained in Table element,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-8,7.2,8,SETH,"structure,table",partial,TH element should be contained in TR element,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-9,7.2,9,SETD,"structure,table",partial,TD element should be contained in TR element,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-10,7.2,10,SETR,"structure,table",partial,TR element may contain only TH and TD elements,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-11,7.2,11,SETable,"structure,table",partial,Table element should contain zero or one THead kid,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-12,7.2,12,SETable,"structure,table",partial,Table element should contain zero or one TFoot kid,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-13,7.2,13,SETable,"structure,table",partial,"If Table element contains TFoot kid, Table element should contain one or more TBody kids","The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-14,7.2,14,SETable,"structure,table",partial,"If Table element contains THead kid, Table element should contain one or more TBody kids","The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-15,7.2,15,SETableCell,"structure,table",partial,A table cell shall not have intersection with other cells,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-16,7.2,16,SETable,"structure,table",partial,Table element may contain a Caption element as its first or last kid,"The app emits real Table/TR/TH/TD structure and TH scope, but table fidelity still depends on Docling extraction and complex header association remains limited.","backend/app/pipeline/tagger.py, backend/app/pipeline/structure.py, backend/app/pipeline/fidelity.py",Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-17,7.2,17,SELI,"structure,list",covered,LI element should be contained in L element,List output is emitted with L/LI/LBody structure by the tagger and validated in corpus runs.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-18,7.2,18,SELBody,"structure,list",covered,LBody element should be contained in LI element,List output is emitted with L/LI/LBody structure by the tagger and validated in corpus runs.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
7.2-19,7.2,19,SEL,"structure,list",covered,"L element may contain only L, LI and Caption elements",List output is emitted with L/LI/LBody structure by the tagger and validated in corpus runs.,backend/app/pipeline/tagger.py,Exact curated corpus: backend/data/benchmarks/corpus_20260308_202258/corpus_report.md; representative non-huge corpus: backend/data/benchmarks/corpus_20260311_121723/corpus_report.md; official form set: backend/data/benchmarks/corpus_20260309_123540/corpus_report.md; scanned OCR fixture sweep: backend/data/benchmarks/scanned_fixture_corpus_20260307_rerun/workflow.sqlite3
